slug,title,category,new_technical_checks,full_compliance_supported,known_limit
arts-tax-filing,Portland Arts Tax Filing,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
business-tax-return-corp,Portland Business Tax Return - Corporation,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
business-tax-return-partnership,Portland Business Tax Return - Partnership,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
business-tax-return-sole-prop,Portland Business Tax Return - Sole Proprietor,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
close-business-account,Close Business Tax Account,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
employer-withholding-filing,Employer Withholding Tax Filing,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
employer-withholding-registration,Employer Withholding Tax Registration,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
estimated-tax-payment,Estimated Tax Payment,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
personal-income-tax,Personal Income Tax Filing,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tax-account-registration,Tax Account Registration (New Business),business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tax-extension-request,Tax Extension Request,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tax-penalty-waiver,Tax Penalty Waiver Request,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tax-refund-request,Tax Refund Request,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
transient-lodging-report,Transient Lodging Tax Report,business-filings,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
accessory-str-permit,Accessory Short-Term Rental (ASTR) Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
amusement-devices-permit,Amusement Devices Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
annual-liquor-renewal,Annual Liquor License Renewal,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
business-license-temp,Temporary Business License,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
