id,rank,work_class,title,behavior_to_build,required_inputs_interfaces,rule_source_ids,rule_source_urls,dependencies,acceptance_tests,expected_impact,implementation_effort,confidence,ranking_note
B01,0,Correctness prerequisite,Lock down consequential actions and records,Remove production dev personas; authorize pipeline/PDF/upload/download; scope staff rights and applicant ownership; fail closed on missing auth/DB/storage config,WorkOS principal and role/department; application/document ownership; deployment environment,C17;C18;C19;C20;C11;C16,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/workos/helpers.ts#L52;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/dev-auth/route.ts#L6;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/upload/route.ts#L15;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/download/route.ts#L11;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/applications/%5Bid%5D/pdf/route.ts#L14,No other work required to reproduce; deployment config verification needed,Anonymous/other-user/forged-persona access denied; intended staff allowed; all deployed routes checked with synthetic data,All enabled real records; no direct hours claim,1-2 engineer-weeks; low-confidence sizing,High,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B02,1,Correctness prerequisite,One validated form/document/eligibility contract,Normalize all schemas and condition shapes; enum/type/range and true attestations server-side; server-owned upload IDs; canonical material/mount/cost fields; unknown-to-review; split exemption from issue,Versioned schema; validated parcel and scope; private document receipt/hash; code-rule source IDs,C03;C04;C05;C06;C07;C08;O05;O07;O06,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/schema-to-zod.ts#L80;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/components/forms/field-renderer.tsx#L521;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/completeness.ts#L26;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits;https://www.portland.gov/bds/services/solar-permits;https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program,B01; bureau-reviewed rule pack,180 schemas compile; every conditional branch tested; six-path adverse/boundary cases block or route; missing/false/unknown facts never auto-pass,Broad intake leverage; 105 upload failures and 8 condition exceptions fixed,2-4 engineer-weeks for contract; additional rule-pack work separate,High,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B03,2,Correctness prerequisite,Revision-bound workflow and durable processing,Explicit states and required-review graph; immutable revisions; block unresolved findings; edits invalidate affected approvals; idempotent submit/review/event writes; staffed exception queue,"Revision hash, required reviews, owner/assignee, findings, events/outbox",C03;C11;C12;C13;C37,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/pipeline.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/discipline-review.ts#L64;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/sla.ts#L15,B01; B02 canonical data,Duplicate submit produces one revision and one work set; nonexistent review rejected; pending/blocker prevents approval; outage resumes; correction reopens correct case,All approval/review workflows; enables reliable labor measurement,3-5 engineer-weeks; low-confidence sizing,High,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B11,3,Correctness/maintenance,Update fee and service catalog currency,July2026 schedules; conditional SDC programs and recapture; remove portable-sign registration; reconcile duplicates and external authorities; responsible owner per service,"Adopted fee tables, effective dates, product/authority registry and deprecation mapping",O15;O16;O31;O32;O40;O41;O44,https://www.portland.gov/ppd/current-fee-schedules;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption;https://www.portland.gov/ppd/sign-permits;https://www.portland.gov/transportation/permitting/portable-signs-boards;https://multco.us/services/food-cart-license;https://www.oregon.gov/odot/dmv/pages/driverid/disparking.aspx;https://www.portland.gov/revenue,B02 contract; ongoing rule owner,Before/after effective-date tests; multifamily/ADU/alteration classifications; obsolete registration no longer offered; canonical overlapping service paths,Prevents wrong charges and unnecessary applications; not a new permitting saving,1-3 engineer/analyst-weeks initial sweep plus recurring maintenance,High,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B05,4,Missing operating capability,Measure actual work and compare against DevHub,"Define eligible cohort and endpoints; log staff active minutes, queues, corrections, payment delay, inspections and exceptions; matched historical/live comparison","City case IDs, event timestamps, staff time study, channel and scope flags; reviewer decision ground truth",C34;C35;C36;O01;O47;O48,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/homepage/transformation-metrics.ts#L4;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/timeline/estimator.ts#L680;https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/drac/documents/2025-02-fy2024-25-major-workload-parameters-cumulative/download;https://www.portland.gov/permitimprovement/documents/q1-2025-permit-improvement-quarterly-update-january-march-2025/download,Read-only data access; works in parallel with B01-B04,Reproducible cohort query; medians calculated per case with business calendar; exclude duplicates and distinguish issued vs approved-to-issue; all forecasts labeled,Required to rank annual ROI; no speculative saving assigned,1-3 analyst/engineer-weeks; access unknown,High need; outcome unknown,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B04,5,Missing operating capability,"Authoritative assessment, payment and issuance",Persist city-approved exact-cent assessment; checkout by invoice ID; dedup event inbox; verify amount/status; resolve checkout/intent correlation; reconcile ledger; issue official record and approved documents only after all gates,City case/invoice API or controlled import; Stripe transaction ID; approved revision; exemptions/conditions; official permit number,C14;C15;C16;C26;O03;O15;O16,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/payments.ts#L33;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/webhooks/stripe/route.ts#L13;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/applications/%5Bid%5D/pdf/route.ts#L14;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/fees/calculator.ts#L42;https://www.portland.gov/ppd/development-permit-processes/step-4-getting-your-permit;https://www.portland.gov/ppd/current-fee-schedules;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption,B01-B03; City finance/issuing interfaces and approvals,Wrong amount or stale/duplicate/out-of-order payment never issues; failed payment leaves eligible unpaid state; single issuance after confirmed City record; refund/cancel/recovery tested,"Shared preissuance bundle; use impact-sensitivity.csv, not advertised 22-day saving",4-8 engineer-weeks after interface access; external lead time unknown,High defect evidence; medium architecture,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B06,6,Missing operating capability,Shared intake/correction and review workspace,Complete package rules and secure approved-plan revisions; assignments with required disciplines and fallback triage; accessible applicant correction/resubmit; cross-bureau condition tracking,"Parcel/project IDs, plan index, revision diff, reviewer load/skills, deadlines, official case synchronization",C07;C10;C30;C32;C33;O02;O04,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/disciplines.ts#L12;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/coordination.ts#L66;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/components/applications/correction-panel.tsx#L65;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/%28public%29/apply/%5Bslug%5D/page.tsx#L33;https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/get-permit/check-permit-status,B01-B03; city document/review adapters,ADU/residential/commercial/demo/land-use/ROW cases route to actual owner; correction replaces correct revision; remaining reviews block release; applicant sees actionable reasons,"Broad building workload; annualized proxy 7254 applications, not additive to B04 savings",4-8 engineer-weeks for bounded families; wider rollout additional,Medium,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B07,7,Expansion/pilot,Bounded no-plan-review trade path,Select one exact equipment/fixture scope already eligible for no-plan-review issuance; verify license/jurisdiction; use current fees; approved issuing connector; exclusions and human exception path,"Accepted scope list, owner/CCB/BCD status, parcel, invoice/payment, official permit and inspection requirements",O01;O08;O09;C08,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48,B01-B06 minimum gates; regulator confirms existing authority,Replay six-path adversarial tests; true eligible set accepted; engineered/medical-gas/invalid-license/unknown-site diverted; compare existing DevHub user and staff minutes,Good pilot tractability; per1000 cases only until incremental baseline and volume verified,2-4 engineer-weeks per narrow rule pack after shared foundation,Medium; savings uncertain against DevHub,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B08,8,Missing operating capability,Inspection administration and final closeout,Connect requests to real inspector capacity; record signed results/photos and reinspection; dependency-controlled final/CO; track expiration/extensions and exemption recapture,City inspection/work-order/CO API; discipline and trade dependencies; calendars and site outcomes; SDC milestone obligations,C22;O03;O09;O16;O33,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/schema.ts#L171;https://www.portland.gov/ppd/development-permit-processes/step-4-getting-your-permit;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption;https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits,B03-B04; inspector/bureau system access,Cannot final with failed/missing inspection or condition; failed visit creates reinspection; canceled/revised work recalculates; SDC deadline alerts and finance recapture,Large distinct workload: historical 85927 visits in eight months; automate admin minutes only,6-12 engineer-weeks for first integrated family; interface lead time unknown,Medium,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
B09,9,Expansion,UC/UR release coordination,Collect/validate reusable insurance and bond; separate public/private scope; sync paid status and remove manual email release handoff; inspection link,"PBOT/BES/PP&D cases, insurance/bond records, City payment and ROW geometry",O33;O34;O35,https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits;https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits/uc-permit;https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements,B01-B04; B08 for full lifecycle,Expired insurance holds release; duplicate payment notification harmless; public/private work linked; restoration and inspection closeout enforced,Promising bounded manual handoff; per1000 cases model until volume verified,3-6 engineer-weeks after adapters,Medium,"Original operational roadmap; immediate sequence superseded by compliance-backlog.csv under user direction September 9, 2026. Payments and government integrations deferred. No summed ROI credit for overlapping shared-stage work."
