source,agency,role,verification_stage,availability,public_records,held_records,unlocated_records,min_year,max_year,last_success,coverage,limitations,url
"BLM prescribed fire treatments","BLM","primary","downloaded","available","36675","25","0","1900","2029","2026-09-11T20:01:57.571Z","Historical treatment units on BLM lands; Oregon-intersecting features from the OR/WA service.","Treatment polygons are not observed burned footprints. Planning-document identifiers are often missing. Repeat treatments remain separate.","https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-or-prescribed-fire-treatments-polygon-hub"
"USFS FACTS fire treatments","USFS","primary","downloaded","available","19317","0","1206","1965","2026","2026-09-11T20:07:59.314Z","Oregon hazardous-fuels fire treatment records on national forests.","Includes planned treatments consumed by wildfire. Purpose codes are administrative; they do not fully explain site selection. Accomplished treatment acres do not measure fire footprint.","https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_HazardousFuelsTreatments_01/MapServer/3"
"PNW prescribed fire tracker","USFS / partners","primary","downloaded","available","593","0","0","2025","2026","2026-09-11T20:09:52.475Z","Oregon-intersecting units in the regional planning and accomplishment tracker.","Contains planned, in-progress, monitoring, and completed statuses. In Progress does not establish that ignition has occurred. Units can disappear without cancellation.","https://experience.arcgis.com/experience/55ce8bfdea4345b6a06ae81d67e7d411"
"ODF daily plans","ODF / registrants","enrichment","downloaded","available","0","0","0","","","2026-09-11T20:11:31.409Z","Rolling forest-management smoke records; public locations are points.","Not all Oregon burning or all burn permits. A unit may have multiple ignitions. Empty responses do not establish no burning. Daily feeds enrich the three-day feeds and are not counted again.","https://www.oregon.gov/odf/fire/pages/burn.aspx"
"ODF daily accomplishments","ODF / registrants","enrichment","downloaded","available","0","0","0","","","2026-09-11T19:58:57.946Z","Rolling forest-management smoke records; public locations are points.","Not all Oregon burning or all burn permits. A unit may have multiple ignitions. Empty responses do not establish no burning. Daily feeds enrich the three-day feeds and are not counted again.","https://www.oregon.gov/odf/fire/pages/burn.aspx"
"ODF three-day plans","ODF / registrants","primary","downloaded","available","0","0","0","","","2026-09-11T20:01:03.948Z","Rolling forest-management smoke records; public locations are points.","Not all Oregon burning or all burn permits. A unit may have multiple ignitions. Empty responses do not establish no burning. Daily feeds enrich the three-day feeds and are not counted again.","https://www.oregon.gov/odf/fire/pages/burn.aspx"
"ODF three-day accomplishments","ODF / registrants","primary","downloaded","available","0","0","0","","","2026-09-11T20:08:07.334Z","Rolling forest-management smoke records; public locations are points.","Not all Oregon burning or all burn permits. A unit may have multiple ignitions. Empty responses do not establish no burning. Daily feeds enrich the three-day feeds and are not counted again.","https://www.oregon.gov/odf/fire/pages/burn.aspx"
"Oregon Explorer recent wildfire perimeters","OSU INR","primary","downloaded","available","4606","0","0","2000","2025","2026-09-11T19:57:16.410Z","Compiled Oregon wildfire perimeters through 2025.","Perimeter coverage is incomplete, especially for small and older fires. Perimeters and occurrence records are different views of fires, not additive counts.","https://services1.arcgis.com/CD5mKowwN6nIaqd8/arcgis/rest/services/library_env_or_wildfire_perimeter_history/FeatureServer"
"Oregon Explorer early wildfire perimeters","OSU INR","primary","downloaded","available","4844","0","0","1800","1999","2026-09-11T20:05:58.111Z","Historical perimeters before 2000.","Perimeter coverage is incomplete, especially for small and older fires. Perimeters and occurrence records are different views of fires, not additive counts.","https://services1.arcgis.com/CD5mKowwN6nIaqd8/arcgis/rest/services/library_env_or_wildfire_perimeter_history/FeatureServer"
"FPA FOD · seventh edition","USFS Research","primary","downloaded","available","78781","0","0","1992","2024","2026-09-11T19:59:46.257Z","Cross-agency wildfire occurrences, 1992–2024; Oregon subset.","Occurrence points can be approximate. The catalog map-service link still serves edition six; this importer requires the seventh-edition SQLite download.","https://www.fs.usda.gov/rds/archive/catalog/RDS-2013-0009.7"
"WFIGS recent wildfire occurrences","NIFC / IRWIN","primary","downloaded","available","1802","0","0","2026","2026","2026-09-11T20:09:47.394Z","Year-to-date wildfire occurrence reports; retained snapshots preserve our observed history.","Operational records are provisional, not a complete statewide count. Fire points are not perimeters. Historical years after FOD coverage require additional archives.","https://data-nifc.opendata.arcgis.com/"
"ODF Smoke Data System history","ODF","requested","discovered","unavailable","","","","","","","Historical registrations, authorizations and individual accomplishments to request.","Export has not been received. No coverage inferred from annual totals.","https://www.oregon.gov/odf/fire/pages/burn.aspx"
"DEQ ecological burn permits","DEQ","requested","discovered","unavailable","","","","","","","Habitat and wetland restoration permit records.","Permit approval is not evidence a burn occurred. Records not yet obtained.","https://www.oregon.gov/deq/aq/pages/burning-101.aspx"
"LRAPA / Rivers to Ridges","LRAPA","requested","discovered","unavailable","","","","","","","Lane County ecological burn permits and unit map.","Underlying GIS and historical accomplishments not yet imported.","https://www.lrapa-or.gov/air-quality-protection/community-center/prescribed-burns/"
"Agricultural field burns","ODA","requested","discovered","unavailable","","","","","","","Willamette Valley field registrations, daily permits and accomplishments.","Records not yet obtained; not a statewide agricultural-burning census.","https://www.oregon.gov/oda/agriculture-services/smoke-burning/pages/grower-resources.aspx"
