id,system,status,current_evidence,needed_interface_or_control,endpoint_unblocked,source_ids,source_urls,production_connection
I01,Official permitting case system,Missing,Local applications and PDX reference numbers; no DevHub/AMANDA write adapter found,Create/read/update canonical City permit and stable idempotent IDs; reconcile legacy records,All official case completion,C03;C22;O01,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/schema.ts#L171;https://www.portland.gov/ppd/devhub-faqs,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I02,Production database,Implemented but unverified,DATABASE_URL uses postgres; missing env falls back to local PGlite even in production,"Fail startup without production DB; schema migrations, backups/restore and retention evidence",Durability and shared state,C21;C22,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/index.ts#L8;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/schema.ts#L171,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I03,WorkOS/staff identity,Partial; production configuration unknown,Role checks exist; dev cookie personas default enabled unless env explicitly disables,"Production-only auth enforcement, MFA/staff scope, remove dev routes, consistent roles",Real applicant/staff access,C17;C18,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/workos/helpers.ts#L52;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/dev-auth/route.ts#L6,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I04,Document storage,Partial; production configuration unknown,Supabase service role or public local disk fallback; upload/download route lacks ownership gate,"Private storage, authorizations, validated upload receipts, quarantine, revision/hash/signature",Safe submission and approved plan set,C19;C20,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/upload/route.ts#L15;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/download/route.ts#L11,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I05,ArcGIS/property evidence,Implemented read integration; tested public lookup failed; decision wiring partial,Public City-building address returned not found; isolated failed overlay requests return clear-looking result; submit does not consume full result,"Parcel geometry/jurisdiction, authoritative freshness and unknown states, prior conditions",Site eligibility and zoning,C23;C24;C11,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/zoning.ts#L23;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/gis-client.ts#L155;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I06,CCB/BCD/professional license registry,Missing,Credential fields are collected but not verified,"Status, license class, expiry, authorized scope and identity matching",Trade/engineered path eligibility,C08;O01,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/devhub-faqs,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I07,FIR membership and inspectors,Missing,Checkbox attestations and generic records,"Participant registry, assigned inspector, consultation and field decisions",FIR operating path,C08;O06,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I08,City fee engine and receivables,Missing,Standalone estimate; checkout trusts caller amount,"Versioned assessment/invoice, exemptions, adjustments and finance posting",Correct charges and settlement,C14;C26;O15,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/payments.ts#L33;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/fees/calculator.ts#L42;https://www.portland.gov/ppd/current-fee-schedules,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I09,Stripe,Implemented but unverified live; isolated contract defects,"Session/PaymentIntent metadata mismatch, no dedup, issuance ungated","Event inbox, assessed amount and payer match, state machine, retries, refunds and reconciliation",Reliable payment; City acceptance still required,C14;C15,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/payments.ts#L33;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/webhooks/stripe/route.ts#L13,Not verified except public deployment/page availability; do not infer secrets/configuration from source
I10,Official issuance and approved documents,Missing,Print HTML application and status flag only,"Official record/number, authorized issuer, immutable approved plans, permit conditions/inspection card",Valid issued permit,C16;O03,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/applications/%5Bid%5D/pdf/route.ts#L14;https://www.portland.gov/ppd/development-permit-processes/step-4-getting-your-permit,Not verified except public deployment/page availability; do not infer secrets/configuration from source
