id,claim,verdict,evidence,recommended_replacement,source_ids,source_urls
CL01,175 form types,Contradicted by catalog,180 JSON schemas and catalog/registry entries; 14 categories,Derive display count and distinguish permits from other services,C01;C38,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/loader.ts#L2302;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/%28public%29/page.tsx#L78
CL02,Six instant approval paths,Implemented flag; not valid end-to-end issuance,Five baseline fixtures autoapprove; solar blocked; adverse cases pass unsafe eligibility,Claim only specific demonstrated feature and eligible rule coverage after fixes,C07;C08,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48
CL03,Trades ~100% time reduction / 11 days to same day,Unvalidated and unfair baseline for eligible no-review purchases,Current DevHub already supports qualifying purchases; app cannot issue authoritative permit,Measure incremental matched-scope staff and applicant time versus DevHub,C34;C35;O01,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/homepage/transformation-metrics.ts#L4;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4;https://www.portland.gov/ppd/devhub-faqs
CL04,Fence/solar/FIR ~95-100% reduction,Unsupported blanket grouping,Fence exemption differs from issue; solar docs/eligibility incomplete; FIR requires actual field workflow,Separate paths and endpoints; no current savings percentage,C08;O05;O06;O07,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits;https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program;https://www.portland.gov/bds/services/solar-permits
CL05,52-100% overall timeline reductions,"Modeled projection, not observed outcome",Hardcoded durations; no paired real cases or staffing/capacity model,Publish as explicitly conditional hypotheses with actual cohort/clock definition,C34;C35;C36,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/homepage/transformation-metrics.ts#L4;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/timeline/estimator.ts#L680
CL06,"48,590 permits / 5.9M activities support predictions",Historical provenance incomplete for causal claim,Strategy cites these totals; underlying fixed snapshot and exact reproducible cohort not bundled with target app,"Archive snapshot/hash and query; separate rows, permits, rounds and elapsed days",C35,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4
CL07,73.8% corrections / 2.58 rounds; future 1-1.5,Not independently reproduced; future unsupported,"Round/event definition, denominator and applicant hold overlaps unclear",Deduplicate rounds per revision and publish sample/period; prospective validation,C35,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4
CL08,28 zones automatically checked at submission,Partial standalone rules; decision wiring incomplete,Development standards omitted in submit action; cache/address mismatch; site geometry and exceptions missing,State exactly which checks ran with verified evidence; unknown blocks auto route,C09;C11;C23;C25,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/rules-engine.ts#L39;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/zoning.ts#L23;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/rules-engine.ts#L1070
CL09,Incomplete applications rejected before queue,Contradicted in isolated tests,Server accepts false/type-invalid data; empty case can persist in_review without assigned reviews,Gate submission or create explicit actionable incomplete/triage state,C03;C06;C11,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/completeness.ts#L26;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36
CL10,AI pre-review understands application/plans,Misleading if describing pipeline stage,Pipeline uses heuristics; separate optional advisor sees form JSON; no substantive plan document analysis,Label deterministic templates versus optional AI assistance and evidence limits,C27;C28,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/ai-pre-review.ts#L40;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/ai/routing.ts#L45
