id,kind,title,url,accessed,version_or_date,evidence_scope
O01,official,DevHub FAQs,https://www.portland.gov/ppd/devhub-faqs,2026-09-09,Current page; accessed 2026-09-09,"Existing digital baseline: eligible no-plan-review purchases, submissions, corrections and payments. Not proof of every possible automated decision."
O02,official,Submit and pay by permit type,https://www.portland.gov/ppd/submit-and-pay-application-permit-type,2026-09-09,Current page,Different intake channels and trade plan-review paths.
O03,official,Getting your permit,https://www.portland.gov/ppd/development-permit-processes/step-4-getting-your-permit,2026-09-09,Current page,Issuance includes fees and approved permit materials; approval is an intermediate state.
O04,official,Check permit status,https://www.portland.gov/ppd/get-permit/check-permit-status,2026-09-09,Current page,"Intake, review and preissuance are distinct stages."
O05,official,Fence permits,https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits,2026-09-09,Current page,Building-permit exemptions depend on construction and height; zoning and pool-barrier rules remain.
O06,official,FIR program,https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program,2026-09-09,Current page; closure described as March 2026,"Restricted enrollment, inspector involvement and field workflow; not a general under-$50,000 auto-issue program."
O07,official,Solar permits,https://www.portland.gov/bds/services/solar-permits,2026-09-09,Current service guidance,"Prescriptive versus engineered structural submissions, electrical permit and inspections."
O08,official,Commercial mechanical permits,https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits,2026-09-09,"Includes July 10, 2026 change","Scope-specific plan-review exclusions, including narrow low-rise ductless mini-split criteria."
O09,official,Commercial permit requirements,https://www.portland.gov/ppd/commercial-permitting/commercial-requirements,2026-09-09,Current page,Separate trade requirements and medical-gas plumbing plan review.
O10,official,ADUs,https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units,2026-09-09,Current page,New and conversion paths; construction permit and inspection obligations.
O11,official,Oregon Structural Specialty Code adoption,https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx,2026-09-09,"2025 OSSC effective Oct 1, 2025; mandatory construction provisions Apr 1, 2026",Current commercial code baseline; project applicability and other specialty-code editions must be pinned separately.
O12,official,Portland seismic code,https://www.portland.gov/code/24/85,2026-09-09,"Current code; temporary suspension until Jan 1, 2029",Section-specific suspension does not remove all seismic requirements.
O13,official,Temporary code suspensions announcement,https://www.portland.gov/community-economic-dev/news/2025/9/24/portland-city-council-approves-temporary-code-suspensions-0,2026-09-09,"Published Sep 24, 2025; effective Oct 24, 2025",Narrow additions/alterations relief; new construction excluded.
O14,official,Code Alignment Project,https://www.portland.gov/permitimprovement/code-alignment-project,2026-09-09,Current page,Scope and prior conditions limit suspension applicability.
O15,official,Current fee schedules,https://www.portland.gov/ppd/current-fee-schedules,2026-09-09,"Effective July 10, 2026",App July 2025 fee constants are not current.
O16,official,Temporary housing SDC exemption,https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption,2026-09-09,"Eligible issuance Aug 15, 2025-Sep 30, 2028","New-unit eligibility, acknowledgement, inspection milestone or guarantee, recapture; ADU program separate."
O17,official,Land use review procedures,https://www.portland.gov/bds/article/204690,2026-09-09,Current guidance; verify exact review type and vested rules,"Notice, decision and appeal requirements vary by type; no blanket instant land-use approval."
O18,official,Type II land use procedure,https://www.portland.gov/bds/documents/type-ii-land-use-review-procedure/download,2026-09-09,"Published procedure; accessed Sep 9, 2026",Public notice and appeal periods; deadline model must preserve applicable clock.
O19,official,Residential demolition permits,https://www.portland.gov/ppd/residential-permitting/home-projects/residential-demolition-permits,2026-09-09,Current page,"Conditional delay, deconstruction, notifications and field safeguards."
O20,official,Demolition code guide,https://www.portland.gov/ppd/codes-rules-and-guides/bod-24-02-demolition,2026-09-09,BOD 24-02,"Demolition and replacement-building sequencing, site closeout obligations."
O21,official,Do I need a tree permit?,https://www.portland.gov/ppd/tree-permits/do-i-need-tree-permit,2026-09-09,"Current page; fee changes July 1, 2025",Street/private/development distinctions and exemptions.
O22,official,Tree permits code,https://www.portland.gov/code/11/40,2026-09-09,Current adopted code,"Type A/B, regulated work, notice and judgment; proposed 2026 changes are not treated as law."
O23,official,Private-tree removal,https://www.portland.gov/ppd/tree-permits/removal-and-replanting-permits/do-i-need-permit-remove-trees-private-property,2026-09-09,Current page,"Size, overlay, heritage and prior-development conditions affect requirements."
O24,official,Street-tree non-removal application,https://www.portland.gov/trees/treepermits/documents/street-tree-permit-application-non-removal/download,2026-09-09,"Current linked application; accessed Sep 9, 2026",Limited pruning path versus work needing inspection or arborist review.
O25,official,Temporary street use,https://www.portland.gov/transportation/permitting/temporary-street-use-permitting-tsup,2026-09-09,"Includes Aug 4, 2026 advisory",Live street restrictions and conflict review affect eligibility and timing.
O26,official,Apply/change temporary street use permit,https://www.portland.gov/transportation/permitting/apply-renew-or-change-temporary-street-use-permit,2026-09-09,Current page,Online intake already exists; scope and lead time vary.
O27,official,Encroachment permits,https://www.portland.gov/transportation/permitting/encroachment-permits,2026-09-09,Current guidance / TRN 8.08,Revocable right-of-way permission requires scope-specific assessment.
