id,path,catalog_slugs,eligible_case_definition,as_deployed_staff_effort,as_deployed_zero_touch_issue,as_deployed_zero_touch_full,tomorrow_staff_effort,tomorrow_zero_touch_issue,tomorrow_zero_touch_full,software_staff_models,software_zero_touch_issue,software_zero_touch_full,software_elapsed,conditions_and_limits,confidence,source_ids,source_urls
T1,Electrical no-plan-review,electrical-permit;commercial-electrical-permit,Only explicitly eligible minor/residential/commercial classes; verified owner/contractor and complete evidence,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M1,Conditional 100% issuance for accepted eligible case class,0 if required inspector work is included,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Existing DevHub can already sell eligible permits; incremental gain must be measured,High on identified implementation gaps; medium authority/process; low quantitative forecast,O01,https://www.portland.gov/ppd/devhub-faqs
T2,Electrical plan-review,electrical-permit;commercial-electrical-permit,Engineered/service/special occupancy/scope requiring drawings; confirm exact triggers with BCD/city,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown; do not apply T1 percentage,0 when inspections/review judgment required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Plan preparation, professional review and field tests remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O02;O09,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
T3,Mechanical no-plan-review,mechanical-permit;commercial-mechanical-permit,Enumerated eligible equipment replacements/minor work; include current July 2026 conditions,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M1,Conditional 100% issuance after verified inputs and City adapter,0 including inspection,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Potential reduced incomplete orders; compare DevHub baseline,High on identified implementation gaps; medium authority/process; low quantitative forecast,O01;O08,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits
T4,Mechanical engineered/hood/commercial,mechanical-permit;commercial-mechanical-permit,"Nonqualifying equipment, hood, ventilation or other plan-required work",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown,0 where inspection/technical decision required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Equipment code and site design review, installation/inspection remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O08;O09,https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
T5,Plumbing no-plan-review,plumbing-permit,"Enumerated eligible fixture/minor work, valid applicant and complete scope",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M1,Conditional 100% issuance after verified inputs and City adapter,0 including inspection,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Do not include medical gas or other review-required projects,High on identified implementation gaps; medium authority/process; low quantitative forecast,O01;O09,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
T6,Plumbing plans/medical gas,plumbing-permit,Medical gas and other required-plan classes,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown,0 including tests/inspection,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,The deployed generic auto path is unsafe for this class,High on identified implementation gaps; medium authority/process; low quantitative forecast,O09,https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
F1,Fence building-permit-exempt,fence-permit,Verified materials/heights and no pool barrier; zoning/visibility/site requirements independently checked,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,unknown,"Not applicable: exemption determination, not issuance",Unknown; construction/compliance remains,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Automate correct no-building-permit guidance, not phantom permit counts",High on identified implementation gaps; medium authority/process; low quantitative forecast,O05,https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits
F2,Fence requiring permit/site review,fence-permit,"Above exemption thresholds, pool barrier or other required technical/site review",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; objective checks can be extensive after structured site evidence,0 when inspection required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Height alone does not capture whole case,High on identified implementation gaps; medium authority/process; low quantitative forecast,O05,https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits
S1,Solar prescriptive roof,solar-permit,"Complete signed structural worksheet, approved roof/system inputs, no excluded condition, electrical linkage",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; high administrative automation; no verified authority for blanket <=25kW issuance,0 including inspections,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Could approach zero-touch issue only for a bureau-accepted existing prescriptive class with all evidence,High on identified implementation gaps; medium authority/process; low quantitative forecast,O07,https://www.portland.gov/bds/services/solar-permits
S2,Solar engineered/ground/other,solar-permit,Structural engineering or site-specific route required,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0 including engineering judgment/inspection,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Collect and cross-check engineering; retain responsible approvals,High on identified implementation gaps; medium authority/process; low quantitative forecast,O07,https://www.portland.gov/bds/services/solar-permits
FI1,Existing FIR member eligible remodel,field-issuance-remodel,"Actual member, accepted work scope, assigned FIR inspector",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,0 where inspector preissuance review required,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Faster scheduling/records possible; field model is retained,High on identified implementation gaps; medium authority/process; low quantitative forecast,O06,https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program
FI2,Nonmember/out-of-scope FIR,field-issuance-remodel,New participant or ineligible project,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,unknown,0 through FIR unless accepted under existing program rules,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Route ordinary building process; app cannot override closed enrollment,High on identified implementation gaps; medium authority/process; low quantitative forecast,O06,https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program
R1,New detached/townhouse residential,residential-building-permit,"Correct residential-code applicability, site and complete plans",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown; no blanket zero-touch case claim,0 including inspections,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Plan, site and construction dependencies remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O02;O11,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx
R2,Addition,residential-building-permit;major-residential-alteration,Area/height/site changes and potential new units; distinguish eligible code suspension,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0 including inspections,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Not the same as interior remodel; exterior/site review can dominate,High on identified implementation gaps; medium authority/process; low quantitative forecast,O14,https://www.portland.gov/permitimprovement/code-alignment-project
R3,Interior alteration/simple residential,residential-building-permit;storm-damage-repair,"Within legal existing use, no excluded structural/site/safety trigger",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown; potential bounded objective subcases,0 if permit inspections required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Cosmetic exempt work should be routed out, not issued",High on identified implementation gaps; medium authority/process; low quantitative forecast,O02,https://www.portland.gov/ppd/submit-and-pay-application-permit-type
R4,Conversion without new unit,attic-basement-garage-conversion,Legal habitable-room conversion with verified existing conditions,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Ceiling/egress/energy/structural and trade work remain,High on identified implementation gaps; medium authority/process; low quantitative forecast,O02;O10,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units
A1,Detached new ADU,adu-permit,"New structure, zoning/site/utilities; separate ADU SDC waiver",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Repeatable designs can reduce plan review but not site/field verification,High on identified implementation gaps; medium authority/process; low quantitative forecast,O10;O16,https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption
A2,Attached/conversion ADU,adu-permit;attic-basement-garage-conversion,New independent dwelling in/attached to existing structure,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Existing-building legality, fire separation, utilities and waiver conditions",High on identified implementation gaps; medium authority/process; low quantitative forecast,O10;O16,https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption
R5,Small accessory construction,deck-permit;retaining-wall-permit;stairs-construction-permit;reroof-permit,Exempt maintenance/low structures versus required structural/surcharge/height review,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown for permitted subset; exemption has no issuance endpoint,0 if inspected,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Each exemption and permit class needs its own rules; no common height-only shortcut,High on identified implementation gaps; medium authority/process; low quantitative forecast,O02,https://www.portland.gov/ppd/submit-and-pay-application-permit-type
C1,Simple commercial TI,tenant-improvement;commercial-building-permit,"No occupancy change, excluded structural work or unusual hazards; verify full scope",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Template plans and repeatable checks help; fire/accessibility and inspections remain,High on identified implementation gaps; medium authority/process; low quantitative forecast,O09,https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
