backlog_id,status,delivered,remaining
CC01,Implemented conservative gate,Six unsafe automatic-approval paths disabled; per-requirement outcomes; no full-compliance result while coverage is incomplete.,Complete validated pack inventory required before enabling any all-code pass.
CC02,Partial,"Canonical facts, explicit provenance, form aliases, stricter shared validation and optional fence/ADU evidence fields. Added dimensional units/conversions and additional ADU/accessory/room facts.",Complete semantic mappings and authoritative evidence verification.
CC03,Partial,"Source IDs, source review date, explicit provision references and engine version. Collected 183 Title 33 PDFs; indexed 1492 references; bound selected rule sources to byte hashes.","Reconciled atomic obligation inventory, enacted amendments, historical elections and interpretations."
CC04,Partial,GIS errors and invalid layer counts remain unknown; cached point data is unconfirmed; context evidence is explicit. Added public whole-parcel six-layer queries and supplied local-feet geometry measurement.,"Complete constraints, legal/survey verification, holes/multipolygons and transformations."
CC05,Partial,"Actual PDF text parsing, page coordinates, byte hash, labelled fence dimensions, contradictory values, blank/invalid PDF detection.","OCR, drawing geometry, scale, schedules, assemblies, revision comparisons, trusted server uploads and evidence review."
CC06,Partial,"Rule boundaries and adverse cases, all-catalog intake smoke tests, isolated action/database tests, browser journeys.","Independent staff-reviewed full-plan answer keys, mutation tests and accuracy/abstention measurements."
CC07,Partial,"Stable report hash, project import/export, dependency differences, serialized pipeline revisions and stale staff assignment rejection.",Immutable actual document versions; unified authenticated project/evidence workspace; retained artifacts for every prior revision.
CC08,Partial,"Fence permit thresholds, selected single-dwelling height paths, measurement checks and three prescriptive footing dimensions.","Complete construction and site provisions; sight/vision, pools, other materials/zones, overlays, easements and independent validation."
CC09,Partial,"Selected ADU living-area, location and visitability rules, including specified exceptions and boundaries. Added bounded accessory, ADU eligibility and R310.1 checks.",Complete technical code packs and independent project validation.
CC10,Not implemented,Unsafe trade/solar automatic approval removed.,"Substantive equipment, load, installation and scope-specific technical packs."
CC11,Not implemented,Missing full-plan technical coverage explicitly prevents automatic compliance.,Residential/commercial/site code inventories and independently validated executable packs.
