id,priority,scope,implemented,gap,required_rule_or_programming,source_ids,source_urls,reproduction,confidence
R01,Critical,Six approval paths,Only six slugs eligible; generic trades have no scope classifier,Trade electrical/mechanical/plumbing approve as a class without verified no-plan-review eligibility,Split by actual scope and applicable adopted specialty code; maintain explicit allowlist with exclusions and unknown-to-review,C08;O01;O08;O09,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements,PLUMB-MEDICAL;MECH-COMMERCIAL;ELECTRIC-LICENSE,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R02,Critical,Fence material/location,Height thresholds exist but material key differs from UI; front/corner/historic checks incomplete,Masonry 6ft and adverse locations can receive approved flag,Canonical field keys and geometry/overlay checks; separate no-building-permit conclusion from issued permit,C08;O05,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/residential-permitting/home-projects/fence-permits,FENCE-MATERIAL;FENCE-FRONT;FENCE-CORNER;FENCE-HISTORIC,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R03,Critical,Solar,Size limit exists; mount key mismatch; required engine docs absent from UI,Default UI is blocked by document keys; manually supplied engine docs reveal unsafe ground/engineered eligibility,Correct document contract; structural worksheet and prescriptive eligibility; electrical branch and unknown handling,C07;C08;O07,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/bds/services/solar-permits,BASE-solar-permit;SOLAR-ADVERSE,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R04,Critical,FIR,Valuation and structural-field mismatches; no registry lookup,500000 estimatedCost and false registration attestation still approve,Verify participant/scope against actual FIR process; route inspector consultation and field review,C08;O06,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48;https://www.portland.gov/ppd/residential-permitting/field-issuance-remodel-program,FIR-COST;FIR-ATTESTATION,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R05,Critical,Server completeness/types,Presence tests; false and malformed values accepted; no authoritative server schema parse,False certifications and malformed email pass direct action pipeline,Validate enum/type/range/address/signature semantics server-side with same conditional contract as UI,C03;C04;C06,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/schema-to-zod.ts#L80;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/completeness.ts#L26,CERT-FALSE;BAD-EMAIL,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R06,High,Upload contract,Renderer produces objects; Zod expects string IDs,105 of 119 upload-containing forms reproduce type failure with uploader-shaped data,Server-issued document IDs; normalized client shape; conditional required-doc tests across catalog,C04;C05,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/schema-to-zod.ts#L80;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/components/forms/field-renderer.tsx#L521,catalog-verification.json,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R07,High,Required documents,Six slugs use engine snake-case keys different from catalog; ADU/solar lack upload fields,False incompleteness and inability to submit expected plans through normal form,One source of document requirements keyed by project path and revision,C01;C07,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/loader.ts#L2302;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68,catalog-verification.json,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R08,Critical,Substantive plan validation,MIME/name/size only,"One-byte declared PDFs pass; content, seals and geometry uninspected",Retrieve bytes; secure parsing; signed-plan/geometry checks; human validation of uncertain extraction,C07,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68,DOC-CONTENT;DOC-EMPTY;DOC-MIME,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R09,High,Zoning input wiring,Public lookup is separate; pipeline reads cache by text and omits developmentStandards,Address objects/missing keys prevent reliable property join; height/FAR/setback checks generally lack standards in submit path,"Canonical parcel ID, authoritative geometry, timestamp/versioned evidence; pass full standards and facts into decisions",C09;C11;C23;C25,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/rules-engine.ts#L39;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/zoning.ts#L23;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/rules-engine.ts#L1070,source review,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R10,Critical,Missing site/overlay evidence,Overlay errors converted to empty/false; routing deletes reviews based on missing site flags,Unknown may be treated as no hazard; warnings can survive automatic approval while disciplines disappear,Explicit verified-clear/triggered/unknown states; no omission of required discipline from missing data,C10;C12;C24,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/disciplines.ts#L12;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/pipeline.ts#L68;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/gis-client.ts#L155,GIS-OUTAGE;OVERLAY-DROPPED,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R11,High,Code suspensions,General seismic/site messages and broad deletion of tree/frontage routing; no date gate,Relief can appear for ineligible/new projects or beyond effective period,"Encode section/scope/date/vesting and prior-condition exceptions, not blanket bureau deletion",C09;C10;O12;O13;O14,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/rules-engine.ts#L39;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/disciplines.ts#L12;https://www.portland.gov/code/24/85;https://www.portland.gov/community-economic-dev/news/2025/9/24/portland-city-council-approves-temporary-code-suspensions-0;https://www.portland.gov/permitimprovement/code-alignment-project,source review,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R12,High,Fees,Calculator effective July 1 2025; no persisted authoritative assessment linked to checkout,Current July 10 2026 schedules and project-specific charges not proven,Version fee schedules and estimate/assessment distinction; reconcile exact cents with City,C14;C26;O15,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/payments.ts#L33;https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/fees/calculator.ts#L42;https://www.portland.gov/ppd/current-fee-schedules,PAYMENT-AMOUNT,High code evidence; legal applicability must be approved by responsible bureau for live decisions
R13,High,Housing SDC relief,New-multi-family omitted from residential classification; ADU treated as automatically permanently exempt,Incorrect eligibility/charges possible; conditions and recapture not operationally enforced,New-unit count/use and issued-date eligibility; separate ADU waiver; acknowledgement and 12-month milestone/guarantee/recapture ledger,C26;O16,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/fees/calculator.ts#L42;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption,source review,High code evidence; legal applicability must be approved by responsible bureau for live decisions
