slug,title,category,service_nature,family,authority,authority_confidence,scope_split_or_overlap,workflow_through_closeout,current_capability,current_classification,live_route,source_schema,default_disciplines,remaining_human_or_external_work,as_deployed_staff_effort_issue,as_deployed_staff_effort_full,as_deployed_zero_touch_issue,as_deployed_zero_touch_full,as_deployed_elapsed_reduction,tomorrow_use,tomorrow_staff_effort_issue,tomorrow_staff_effort_full,tomorrow_zero_touch_issue,tomorrow_zero_touch_full,tomorrow_elapsed_reduction,software_only_implementation,software_effort_models,software_staff_effort_issue,software_staff_effort_full,software_zero_touch_issue,software_zero_touch_full,software_elapsed_reduction,remaining_limits,missing_shared_implementation,impact_volume,impact_effort_and_delay,confidence,official_source_ids,official_source_urls,test_evidence
abandoned-vehicle-report,Abandoned Vehicle Report,reports,report/field service,Reports/field service,PBOT Parking Enforcement,Medium where official family source applies; otherwise catalog attribution only,PBOT enforcement; investigate ownership and removal criteria before field action.,Receive location/evidence -> triage/jurisdiction/duplicate check -> dispatch -> investigation/physical work -> verify/close and notify,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/abandoned-vehicle-report,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/reports/abandoned-vehicle-report.json,none,"Investigators, responders or maintenance crews perform and verify the work.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"311/work-order integrations; asset and incident IDs; prioritization, duplicate matching and SLA/escalation.",unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","No outage, pothole or complaint is resolved merely because its form has been submitted.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02,https://www.portland.gov/ppd/submit-and-pay-application-permit-type,evidence/catalog-verification.json#abandoned-vehicle-report
accessory-str-permit,Accessory Short-Term Rental (ASTR) Permit,businesses,permit/license or conditional exemption,Short-term rental,Portland PP&D; Type B land-use decision process,Medium where official family source applies; otherwise catalog attribution only,Overlaps short-term-rental; ASTR is not simply a separate accessory-versus-primary license.,Type A/B and legal bedrooms/residency -> notice and certification -> sampled inspection or conditional-use route -> fees/permit -> renewal/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/accessory-str-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/businesses/accessory-str-permit.json,none,"Resident evidence, bureau verification, inspections where selected/required; Type B discretionary decision.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Residency/bedroom registry; Type A certification and random inspection selection; Type B land-use link; notice and renewal service.,M2;M4,Unknown empirically; conditional budgets M2;M4,Unknown empirically; conditional budgets M2;M4,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",Service guidance and administrative inspection rule must be reconciled operationally; do not assume every Type A needs inspection or none do.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O37;O38,https://www.portland.gov/bds/astr-permits/before-you-apply;https://www.portland.gov/policies/environment-built/permitting-development-administrative-policies-procedures/enb-1302,evidence/catalog-verification.json#accessory-str-permit
address-change,Address Change Notification,updates,account update/registration,Account updates/registration,Agency named in schema; assignment not independently confirmed,Medium where official family source applies; otherwise catalog attribution only,Choose actual agencies/accounts; notification here does not update them.,Verify identity/authority -> validate requested update -> update authoritative systems -> confirmation and exceptions,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/address-change,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/updates/address-change.json,none,Customer and owner agency; physical service transfer if needed.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Account/identity matching; consent scope; exact agency API; audit and rollback.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",No single citywide address/contractor registry is proven connected; private/state registries may own the record.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O44,https://www.portland.gov/revenue,evidence/catalog-verification.json#address-change
adu-permit,Accessory Dwelling Unit (ADU) Permit Application,permits,permit/license or conditional exemption,Residential construction,PP&D,Medium where official family source applies; otherwise catalog attribution only,Split detached new ADU from attached ADU and conversion; separate SDC waiver obligations.,Jurisdiction/legal use -> scope and zoning -> complete plans -> required disciplines/corrections -> preissuance fees/conditions -> building and linked trades -> staged inspections -> final/occupancy if applicable,"Public form schema/route implemented; original pipeline fixture reaches human_review. Pipeline expects absent document keys: site_plan, floor_plans",partial,https://www.portlandpermits.org/apply/adu-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/adu-permit.json,zoning;structural;life_safety;water,Designer and applicant prepare plans; staff review judgment/engineering/site issues; inspectors verify constructed work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Structured project model; parcel geometry and prior conditions; code-version rules; document revision control; review and trade dependency graph; issue/inspection interfaces.,M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","New build, addition, alteration and conversion must be separate paths; physical conditions and professional design remain.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02;O10;O11;O14,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units;https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx;https://www.portland.gov/permitimprovement/code-alignment-project,evidence/catalog-verification.json#adu-permit
amusement-devices-permit,Amusement Devices Permit,businesses,permit/license or conditional exemption,Business/regulatory licenses,Revenue Division,Medium where official family source applies; otherwise catalog attribution only,Device/site licensing path requires authority and current fee validation.,Identify licensing authority and scope -> identity/site/credential/background or safety checks -> external recommendations -> fee/license -> renewals/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/amusement-devices-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/businesses/amusement-devices-permit.json,none,Regulator and external agencies determine eligibility; inspections/hearings depend on license.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Per-license rule packs; license/background registries; renewal events and agency handoffs.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Catalog labels are not evidence of City authority; OLCC, county and state permissions remain separate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O40;O42;O43,https://multco.us/services/food-cart-license;https://www.portland.gov/ppd/cannabis;https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,evidence/catalog-verification.json#amusement-devices-permit
annual-liquor-renewal,Annual Liquor License Renewal,businesses,permit/license or conditional exemption,Business/regulatory licenses,OLCC + applicable Portland local recommendation,Medium where official family source applies; otherwise catalog attribution only,City recommendation/renewal role versus OLCC license; do not count both as independent city issuance.,Identify licensing authority and scope -> identity/site/credential/background or safety checks -> external recommendations -> fee/license -> renewals/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/annual-liquor-renewal,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/businesses/annual-liquor-renewal.json,none,Regulator and external agencies determine eligibility; inspections/hearings depend on license.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Per-license rule packs; license/background registries; renewal events and agency handoffs.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Catalog labels are not evidence of City authority; OLCC, county and state permissions remain separate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O40;O42;O43,https://multco.us/services/food-cart-license;https://www.portland.gov/ppd/cannabis;https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,evidence/catalog-verification.json#annual-liquor-renewal
annual-parking-permit,Annual Parking Permit (Business / Nonprofit),transportation,permit/license or conditional exemption,Parking/access entitlement,PBOT,Medium where official family source applies; otherwise catalog attribution only,Business/nonprofit quota and employee eligibility differ from resident permits.,Zone/account/eligibility -> evidence and quota validation -> fee -> plate/permit/account activation -> renewal/cancellation,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/annual-parking-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/transportation/annual-parking-permit.json,none,Applicant residence/vehicle evidence; authority exceptions and enforcement.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Live zones/quotas/plates; residency and benefits validation; permit ledger and enforcement-system sync.,M2,Unknown empirically; conditional budgets M2,Unknown empirically; conditional budgets M2,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Annual business, resident and income-qualified programs differ; disabled placards are a state/healthcare path.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O41,https://www.portland.gov/ppd/devhub-faqs;https://www.oregon.gov/odot/dmv/pages/driverid/disparking.aspx,evidence/catalog-verification.json#annual-parking-permit
area-parking-permit,Area Parking Permit (Zone Permit),transportation,permit/license or conditional exemption,Parking/access entitlement,PBOT,Medium where official family source applies; otherwise catalog attribution only,"Overlaps resident zone permit; identify zone, plate, cap and household rules.",Zone/account/eligibility -> evidence and quota validation -> fee -> plate/permit/account activation -> renewal/cancellation,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/area-parking-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/transportation/area-parking-permit.json,none,Applicant residence/vehicle evidence; authority exceptions and enforcement.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Live zones/quotas/plates; residency and benefits validation; permit ledger and enforcement-system sync.,M2,Unknown empirically; conditional budgets M2,Unknown empirically; conditional budgets M2,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Annual business, resident and income-qualified programs differ; disabled placards are a state/healthcare path.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O41,https://www.portland.gov/ppd/devhub-faqs;https://www.oregon.gov/odot/dmv/pages/driverid/disparking.aspx,evidence/catalog-verification.json#area-parking-permit
arts-tax-filing,Portland Arts Tax Filing,business-filings,tax/account transaction,Tax filings/accounts,Portland Revenue Division for applicable City/County/Metro program; verify tax-year scope,Medium where official family source applies; otherwise catalog attribution only,Annual Arts Tax filing and payment must reach Revenue; account/year/exemptions required.,Identify tax/account/period -> calculate or collect return -> validate schedules -> authorized filing/payment -> ledger/reconciliation -> amendments/refunds/audit,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/arts-tax-filing,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/business-filings/arts-tax-filing.json,none,"Taxpayer supplies truthful records; authority resolves audits, discretionary relief and contested assessments.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Tax-year rule engine; official account/filing API; exact rates and thresholds; signed declarations and payment ledger.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",A local application record is not a filed return or remitted tax; current-year coverage is unaudited.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O44,https://www.portland.gov/revenue,evidence/catalog-verification.json#arts-tax-filing
athletic-field-permit,Athletic Field Permit,parks-recreation,reservation/use permission,Parks reservations/events,Portland Parks & Recreation,Medium where official family source applies; otherwise catalog attribution only,"Recurring field allocation, capacity, sport and season conflicts.",Inventory/date selection -> eligibility/conflict/access/safety review -> agreement/deposit/payment -> confirmed booking -> event/use -> damage/deposit closeout,Public form schema/route implemented; original pipeline fixture reaches exception. Legacy conditional-schema exception reproduced; not proof first UI page cannot render No default discipline assignment; manual triage required,partial / exception in isolated validation,https://www.portlandpermits.org/apply/athletic-field-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/parks-recreation/athletic-field-permit.json,none,Parks staff resolve special uses; users conduct events; maintenance/site checks remain.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Real inventory with atomic reservations; pricing/deposits/refunds; event checklists and asset work orders.,M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",A generic form without a reservation backend does not reserve a venue; eight schemas have incompatible condition shapes.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O28,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements,evidence/catalog-verification.json#athletic-field-permit
