id,sequence,work,behavior,audit_rule_ids,acceptance,government_access_required,boundary
CC01,1,Explicit technical verdict and coverage gate,Replace overall approval-by-slug with applicability and requirement results; unknown/unimplemented/open determination prevents complete compliance.,R01;R02;R03;R04;R10,A missing required rule or fact cannot yield all-code pass; violations remain visible alongside unknowns.,No,Partial checks cannot certify whole project.
CC02,2,Canonical project and evidence model,Fix field aliases and strict type/enum/unit validation; unify file and conditional contracts; distinguish declared/extracted/verified facts.,R02;R03;R04;R05;R06;R07;R15,Existing adverse cases handled correctly; equivalent UI/API inputs produce identical results; invalid units/values fail validation.,No,Necessary for every rule pack.
CC03,3,Versioned code and provision inventory,"Register adopted provisions, definitions, exceptions, interpretations and incorporated standards for every declared path; independently reconcile completeness.",R11;R22,Every relevant provision accounted for; future code excluded before effective date; unavailable reference explicitly unsupported.,No government-system access; lawful source access required,This establishes the denominator; current all-code coverage is unknown.
CC04,4,Applicability and property geometry,"Combine project scope, occupancy, code date, parcel geometry, overlays, plan districts and prior conditions; independent public-data/import adapters.",R09;R10;R11,No overlay outage means clear; wrong parcel and missing prior conditions block complete finding; validated applicability cases match experts.,No; public/downloaded/supplied records allowed,Required facts unavailable from any source remain unresolved.
CC05,5,Actual plan and schedule evidence,Securely parse documents; extract measurements/equipment/assemblies with page provenance; confirm uncertain facts and detect cross-sheet contradictions.,R07;R08;R21,"Wrong parcel/units/revision, blank or misleading plan and contradictory dimensions detected or marked insufficient; metadata alone never proves design compliance.",No,Start with structured inputs and supported document formats; do not rely on unverified AI judgment.
CC06,6,Independent validation suite,"Build reviewed answer-key cases, boundaries/exceptions/missing-data tests, cross-rule tests, valid metamorphic properties and mutation testing.",R01;R02;R03;R04;R08;R09;R10;R11,"Zero known unsupported passes; separately report false violations, abstention and resolved coverage; expected outcomes independently justified.",No; qualified independent reviewers useful,"Runs alongside every rule pack, not after feature expansion."
CC07,7,Revisioned dependency evaluation,Bind results to evidence/project/rule versions; invalidate changed facts and rerun affected checks; produce reproducible report.,R16;R17,Changed dimensions/material/occupancy/plan cannot retain stale pass; frozen evidence reproduces original result without live services.,No,"Technical validity, independent of official approval records."
CC08,8,Complete bounded fence compliance slice,Implement and validate all inventoried requirements for an explicit supported site/project class; separate exemption determination and design compliance.,R02;R09;R10;R11,Material/height/location/vision/pool/overlay cases and exclusions reconciled; every case includes requirement/evidence coverage report.,No,Foundation demonstration; not comprehensive support for every fence/site.
CC09,9,Bounded residential/ADU review,Apply the ledger and engine to zoning geometry and a defined prescriptive residential/ADU path across all triggered code families.,R07;R08;R09;R11;R16,Independent full-plan cases; no all-code pass while building/energy/fire/trade requirements remain unsupported; corrections update every affected result.,No,Tests whether architecture covers an actual substantive plan review.
CC10,10,Technical trade and solar rule packs,Implement design/equipment/load/installation rule checks with source-specific applicability; do not treat no-plan-review eligibility as code compliance.,R01;R03;R08;R21,Underlying technical requirements evaluated for declared supported scopes; engineered/unknown/unsupported alternatives visibly handled.,No,Expand by validated rule reuse and project demand.
CC11,11,Additional residential/commercial/site packs,"Incrementally cover assemblies, occupancy/egress/accessibility, structural/energy, trees/site and referenced-standard dependencies.",R08;R09;R11;R22,Every new scope has independent provision inventory and representative answer-key validation before complete-compliance claims.,No; some facts/interpretations require external evidence,Discretionary and hidden physical facts remain explicitly identified.
